State,Urban ST,Urban SC,Urban OBC,Urban Others,Urban All (#)
Andhra Pradesh,6335.0,6427.0,6332.0,7637.0,6782.0
Assam,5410.0,5173.0,6374.0,6398.0,6136.0
Bihar,3633.0,3665.0,4501.0,6291.0,4768.0
Chhattisgarh,4068.0,3659.0,3963.0,5847.0,4483.0
Gujarat,5322.0,5322.0,5870.0,7688.0,6621.0
Haryana,6241.0,5868.0,7077.0,9429.0,7911.0
Jharkhand,3767.0,3888.0,4738.0,5998.0,4931.0
Karnataka,5984.0,6370.0,7516.0,9099.0,7666.0
Kerala,9373.0,5800.0,6443.0,8822.0,7078.0
Madhya Pradesh,4436.0,4415.0,4662.0,5929.0,4987.0
Maharashtra,5337.0,5492.0,5913.0,7475.0,6657.0
Orissa,3563.0,4509.0,5045.0,6252.0,5187.0
Punjab,5820.0,5348.0,6294.0,7729.0,6544.0
Rajasthan,5811.0,4722.0,5525.0,7174.0,5913.0
Tamil Nadu,6115.0,6423.0,7791.0,7830.0,7630.0
Telangana,6311.0,6823.0,7824.0,9534.0,8158.0
Uttar Pradesh,4644.0,4502.0,4652.0,6073.0,5040.0
West Bengal,5228.0,4606.0,4306.0,5636.0,5267.0
All-India,5414.0,5307.0,6177.0,7333.0,6459.0
